contador	contadora
conocido	conocida
actor	actriz
profesor	profesora
administrador	administradora
aventurero	aventurera
abogado	abogada
embajador	embajadora
analista	analista
arqueólogo	arqueóloga
arquitecto	arquitecta
artista	artista
asesino	asesina
decano	decana
astronauta	astronauta
astrónomo	astrónoma
atleta	atleta
director	directora
abogado	abogada
autor	autora
panadero	panadera
banquero	banquera
barbero	barbera
barón	barón
abogado	abogada
camarero	camarera
biólogo	bióloga
jefe	jefa
boxeador	boxeadora
locutor	locutora
corredor	corredora
burócrata	burócrata
carnicero	carnicera
mayordomo	mayordoma
conductor	conductora
capitán	capitana
cardiólogo	cardióloga
cuidador	cuidadora
carpintero	carpintera
dibujante	dibujante
violoncelista	violoncelista
canciller	cancillera
chaplain	chaplain
cocinero	cocinera
químico	química
coreógrafo	coreógrafa
ciudadano	ciudadanía
servidor	servidora
empleado	empleada
coleccionista	coleccionista
coronel	coronela
columnista	columnista
cómico	cómica
comandante	comandanta
comentador	comentadora
notario	notaria
compositor	compositora
conductor	conductora
alguacil	alguacila
consultor	consultora
policía	policía
corresponsal	corresponsal
concejal	concejala
consejero	consejera
crítico	crítica
crooner	crooner
curador	curadora
custodio	custodia
bailarín	bailarina
dentista	dentista
diputado	diputada
dermatólogo	dermatóloga
detective	detective
diplomático	diplomática
jockey	jockey
doctor	doctora
estudiante	estudiante
adicto	adicta
batería	batería
economista	economista
editor	editora
educador	educadora
electricista	electricista
empleado	empleada
animador	animadora
empresario	empresaria
ambientalista	ambientalista
enviado	enviada
epidemiólogo	epidemióloga
evangelista	evangelista
granjero	granjera
diseñador	diseñadora
piloto	pilota
financiero	financiera
bombero	bombera
futbolista	futbolista
escritor	escritora
gángster	gángster
jardinero	jardinera
geólogo	geóloga
guitarrista	guitarrista
peluquero	peluquera
historiador	historiadora
prostituto	prostituta
ilustrador	ilustradora
industrialist	industrialist
inspector	inspectora
instructor	instructora
inventor	inventora
portero	portera
joyero	joyera
periodista	periodista
juez	jueza
jurista	jurista
obrero	obrera
legislador	legisladora
abogado	abogada
profesor	profesora
legislador	legisladora
bibliotecario	bibliotecaria
teniente	teniente
salvavidas	salvavidas
letrista	letrista
maestro	maestra
mago	maga
magistrado	magistrada
miembro	miembra
gerente	gerenta
mariscal	mariscala
matemático	matemática
mecánico	mecánica
mediador	mediadora
ministro	ministra
misionero	misionera
músico	música
narrador	narradora
naturalista	naturalista
negociador	negociadora
neurólogo	neuróloga
neurocirujano	neurocirujana
novelista	novelista
enfermero	enfermera
observador	observadora
oficial	oficial
organista	organista
pintor	pintora
feligrés	feligresa
parlamentaria	europarlamentaria
pastor	pastora
patólogo	patóloga
pediatra	pediatra
ejecutante	ejecutante
farmacéutico	farmacéutica
filántropo	filántropa
filósofo	filósofa
fotógrafo	fotógrafa
fotoperiodista	fotoperiodista
médico	médica
físico	física
pianista	pianista
planificador	planificadora
cirujano	cirujana
dramaturgo	dramaturga
fontanero	fontanera
poeta	poetisa
policía	policía
político	política
entrevistador	entrevistadora
predicador	predicadora
presidente	presidenta
sacerdote	sacerdote
principal	principal
prisionero	prisionera
programador	programadora
promotor	promotora
propietario	propietaria
fiscal	fiscala
protagonista	protagonista
protegido	protegida
protestador	protestador
preboste	prebostes
psiquiatra	psiquiatra
psicólogo	psicóloga
publicista	publicista
pandit	pandit
radiólogo	radióloga
guardabosque	guardabosque
recepcionista	recepcionista
investigador	investigadora
restaurador	restauradora
marinero	marinera
santo	santa
vendedor	vendedor
saxofonista	saxofonista
erudito	erudita
científico	científica
guionista	guionista
escultor	escultora
secretario	secretaria
senador	senadora
sargento	sargenta
alguacil	alguacil
tendero	tendera
cantante	cantante
compositor	compositora
patrón	patrona
mundano	mundana
sociólogo	socióloga
portavoz	portavoz
soldado	soldado
abogado	abogada
general	general
solista	solista
estratega	estratega
estratega	estratega
sustituir	sustituir
estilista	estilista
topógrafo	topógrafa
nadador	nadadora
profesor	profesora
técnico	asesora
terapeuta	terapeuta
comerciante	comerciante
tesorero	tesorera
soldado	soldado
camionero	camionera
trompetista	trompetista
tutor	tutora
magnate	magnata
subsecretario	subsecretaria
valedictorian	valedictorian
violinista	violinista
vocalista	vocalista
guardián	guardiana
guerrero	guerrera
soldador	soldadora
obrero	obrera
luchador	luchadora
